key,title,authors,year,venue,doi,url,discovery_url,cited_in_sections
Hartvigsen2022ToxiGen,ToxiGen: A Large-Scale Machine-Generated Dataset for Adversarial and Implicit Hate Speech Detection,"Hartvigsen, Thomas; Gabriel, Saadia; Palangi, Hamid; Sap, Maarten; Ray, Dipankar; Kamar, Ece",2022,Proceedings of the 60th Annual Meeting of the Association for Computational Linguistics,,,https://scholar.google.com/scholar?q=%22ToxiGen%3A%20A%20Large-Scale%20Machine-Generated%20Dataset%20for%20Adversarial%20and%20Implicit%20Hate%20Speech%20Detection%22,4 Content Measurement: From Labels to Policy-Conditioned Evidence
Ouyang2022Training,Training Language Models to Follow Instructions with Human Feedback,"Ouyang, Long; Wu, Jeffrey; Jiang, Xu; Almeida, Diogo; Wainwright, Carroll; Mishkin, Pamela; Zhang, Chong; Agarwal, Sandhini; Slama, Katarina; Ray, Alex; Schulman, John; Hilton, Jacob; Kelton, Fraser; Miller, Luke; Simens, Maddie; Askell, Amanda; Welinder, Peter; Christiano, Paul; Leike, Jan; Lowe, Ryan",2022,Advances in Neural Information Processing Systems,,,https://scholar.google.com/scholar?q=%22Training%20Language%20Models%20to%20Follow%20Instructions%20with%20Human%20Feedback%22,5 Interactive Behavior: From Output Scores to Trajectory-Level Safety; 8 Adaptive Evasion and Detection–Mitigation Coupling
Rottger2022AnnotationParadigms,Two Contrasting Data Annotation Paradigms for Subjective NLP Tasks,"Rottger, Paul; Vidgen, Bertie; Hovy, Dirk; Pierrehumbert, Janet",2022,Proceedings of NAACL-HLT 2022,,,https://scholar.google.com/scholar?q=%22Two%20Contrasting%20Data%20Annotation%20Paradigms%20for%20Subjective%20NLP%20Tasks%22,4 Content Measurement: From Labels to Policy-Conditioned Evidence; 10 Cross-Cutting Synthesis and Research Agenda
Suresh2021SourcesHarm,A Framework for Understanding Sources of Harm throughout the Machine Learning Life Cycle,"Suresh, Harini; Guttag, John V.",2021,"Proceedings of the 1st ACM Conference on Equity and Access in Algorithms, Mechanisms, and Optimization",,,https://scholar.google.com/scholar?q=%22A%20Framework%20for%20Understanding%20Sources%20of%20Harm%20throughout%20the%20Machine%20Learning%20Life%20Cycle%22,9 Decision-Oriented Governance Under Uncertainty
Metcalf2021AlgorithmicImpact,Algorithmic Impact Assessments and Accountability: The Co-construction of Impacts,"Metcalf, Jacob; Moss, Emanuel; Watkins, Elizabeth Anne; Singh, Ranjit; Elish, Madeleine Clare",2021,"Proceedings of the 2021 ACM Conference on Fairness, Accountability, and Transparency",,,https://scholar.google.com/scholar?q=%22Algorithmic%20Impact%20Assessments%20and%20Accountability%3A%20The%20Co-construction%20of%20Impacts%22,9 Decision-Oriented Governance Under Uncertainty
Welbl2021ChallengesDetoxifying,Challenges in Detoxifying Language Models,"Welbl, Johannes; Glaese, Amelia; Uesato, Jonathan; Dathathri, Sumanth; Mellor, John; Hendricks, Lisa Anne; Anderson, Kirsty; Kohli, Pushmeet; Coppin, Ben; Huang, Po-Sen",2021,Findings of the Association for Computational Linguistics: EMNLP 2021,,,https://scholar.google.com/scholar?q=%22Challenges%20in%20Detoxifying%20Language%20Models%22,4 Content Measurement: From Labels to Policy-Conditioned Evidence; 5 Interactive Behavior: From Output Scores to Trajectory-Level Safety
Gebru2021Datasheets,Datasheets for Datasets,"Gebru, Timnit; Morgenstern, Jamie; Vecchione, Briana; Vaughan, Jennifer Wortman; Wallach, Hanna; Daumé III, Hal; Crawford, Kate",2021,Communications of the ACM,,,https://scholar.google.com/scholar?q=%22Datasheets%20for%20Datasets%22,4 Content Measurement: From Labels to Policy-Conditioned Evidence; 9 Decision-Oriented Governance Under Uncertainty
Liu2021DExperts,DExperts: Decoding-Time Controlled Text Generation with Experts and Anti-Experts,"Liu, Alisa; Sap, Maarten; Lu, Ximing; Swayamdipta, Swabha; Bhagavatula, Chandra; Smith, Noah A.; Choi, Yejin",2021,Proceedings of the 59th Annual Meeting of the Association for Computational Linguistics and the 11th International Joint Conference on Natural Language Processing,,,https://scholar.google.com/scholar?q=%22DExperts%3A%20Decoding-Time%20Controlled%20Text%20Generation%20with%20Experts%20and%20Anti-Experts%22,5 Interactive Behavior: From Output Scores to Trajectory-Level Safety; 8 Adaptive Evasion and Detection–Mitigation Coupling
Okati2021Triage,Differentiable Learning Under Triage,"Okati, Nastaran; De, Abir; Gomez-Rodriguez, Manuel",2021,Advances in Neural Information Processing Systems 34,,,https://scholar.google.com/scholar?q=%22Differentiable%20Learning%20Under%20Triage%22,9 Decision-Oriented Governance Under Uncertainty
Sambasivan2021DataCascades,"Everyone Wants to Do the Model Work, Not the Data Work: Data Cascades in High-Stakes AI","Sambasivan, Nithya; Kapania, Shivani; Highfill, Hannah; Akrong, Diana; Paritosh, Praveen K.; Aroyo, Lora",2021,Proceedings of the 2021 CHI Conference on Human Factors in Computing Systems,,,https://scholar.google.com/scholar?q=%22Everyone%20Wants%20to%20Do%20the%20Model%20Work%2C%20Not%20the%20Data%20Work%3A%20Data%20Cascades%20in%20High-Stakes%20AI%22,9 Decision-Oriented Governance Under Uncertainty
Krause2021GeDi,GeDi: Generative Discriminator Guided Sequence Generation,"Krause, Ben; Gotmare, Akhilesh Deepak; McCann, Bryan; Keskar, Nitish Shirish; Joty, Shafiq; Socher, Richard; Rajani, Nazneen Fatema",2021,Findings of the Association for Computational Linguistics: EMNLP 2021,,,https://scholar.google.com/scholar?q=%22GeDi%3A%20Generative%20Discriminator%20Guided%20Sequence%20Generation%22,5 Interactive Behavior: From Output Scores to Trajectory-Level Safety
Caselli2021HateBERT,HateBERT: Retraining BERT for Abusive Language Detection in English,"Caselli, Tommaso; Basile, Valerio; Mitrovic, Jelena; Granitzer, Michael",2021,Proceedings of the 5th Workshop on Online Abuse and Harms,,,https://scholar.google.com/scholar?q=%22HateBERT%3A%20Retraining%20BERT%20for%20Abusive%20Language%20Detection%20in%20English%22,4 Content Measurement: From Labels to Policy-Conditioned Evidence
Rottger2021HateCheck,HateCheck: Functional Tests for Hate Speech Detection Models,"Rottger, Paul; Vidgen, Bertie; Nguyen, Dong; Waseem, Zeerak; Margetts, Helen; Pierrehumbert, Janet",2021,Proceedings of the 59th Annual Meeting of the Association for Computational Linguistics and the 11th International Joint Conference on Natural Language Processing,,,https://scholar.google.com/scholar?q=%22HateCheck%3A%20Functional%20Tests%20for%20Hate%20Speech%20Detection%20Models%22,1 Introduction; 3 The SCOPE Framework: Defining Governance Validity; 4 Content Measurement: From Labels to Policy-Conditioned Evidence; 8 Adaptive Evasion and Detection–Mitigation Coupling; 9 Decision-Oriented Governance Under Uncertainty; 10 Cross-Cutting Synthesis and Research Agenda
Mathew2021HateXplain,HateXplain: A Benchmark Dataset for Explainable Hate Speech Detection,"Mathew, Binny; Saha, Punyajoy; Yimam, Seid Muhie; Biemann, Chris; Goyal, Pawan; Mukherjee, Animesh",2021,Proceedings of the AAAI Conference on Artificial Intelligence,,,https://scholar.google.com/scholar?q=%22HateXplain%3A%20A%20Benchmark%20Dataset%20for%20Explainable%20Hate%20Speech%20Detection%22,3 The SCOPE Framework: Defining Governance Validity; 4 Content Measurement: From Labels to Policy-Conditioned Evidence; 9 Decision-Oriented Governance Under Uncertainty
Nozza2021HONEST,HONEST: Measuring Hurtful Sentence Completion in Language Models,"Nozza, Debora; Bianchi, Federico; Hovy, Dirk",2021,Proceedings of NAACL-HLT 2021,,,https://scholar.google.com/scholar?q=%22HONEST%3A%20Measuring%20Hurtful%20Sentence%20Completion%20in%20Language%20Models%22,5 Interactive Behavior: From Output Scores to Trajectory-Level Safety
ElSherief2021LatentHatred,Latent Hatred: A Benchmark for Understanding Implicit Hate Speech,"ElSherief, Mai; Ziems, Caleb; Muchlinski, David; Anupindi, Vaishnavi; Seybolt, Jordyn; De Choudhury, Munmun; Yang, Diyi",2021,Proceedings of the 2021 Conference on Empirical Methods in Natural Language Processing,,,https://scholar.google.com/scholar?q=%22Latent%20Hatred%3A%20A%20Benchmark%20for%20Understanding%20Implicit%20Hate%20Speech%22,4 Content Measurement: From Labels to Policy-Conditioned Evidence
Uma2021LearningDisagreement,Learning from Disagreement: A Survey,"Uma, Alexandra; Fornaciari, Tommaso; Hovy, Dirk; Paun, Silviu; Plank, Barbara; Poesio, Massimo",2021,Journal of Artificial Intelligence Research,,,https://scholar.google.com/scholar?q=%22Learning%20from%20Disagreement%3A%20A%20Survey%22,4 Content Measurement: From Labels to Policy-Conditioned Evidence
Vidgen2021Learning,Learning from the Worst: Dynamically Generated Datasets to Improve Online Hate Detection,"Vidgen, Bertie; Thrush, Tristan; Waseem, Zeerak; Kiela, Douwe",2021,Proceedings of the 59th Annual Meeting of the Association for Computational Linguistics and the 11th International Joint Conference on Natural Language Processing,,,https://scholar.google.com/scholar?q=%22Learning%20from%20the%20Worst%3A%20Dynamically%20Generated%20Datasets%20to%20Improve%20Online%20Hate%20Detection%22,4 Content Measurement: From Labels to Policy-Conditioned Evidence
Radford2021CLIP,Learning Transferable Visual Models From Natural Language Supervision,"Radford, Alec; Kim, Jong Wook; Hallacy, Chris; Ramesh, Aditya; Goh, Gabriel; Agarwal, Sandhini; Sastry, Girish; Askell, Amanda; Mishkin, Pamela; Clark, Jack; Krueger, Gretchen; Sutskever, Ilya",2021,Proceedings of the 38th International Conference on Machine Learning,,,https://scholar.google.com/scholar?q=%22Learning%20Transferable%20Visual%20Models%20From%20Natural%20Language%20Supervision%22,"6 Compositional Semantics, Generation Risk, and Visual Safety"
Jacobs2021MeasurementFairness,Measurement and Fairness,"Jacobs, Abigail Z.; Wallach, Hanna",2021,"Proceedings of the 2021 ACM Conference on Fairness, Accountability, and Transparency",,,https://scholar.google.com/scholar?q=%22Measurement%20and%20Fairness%22,9 Decision-Oriented Governance Under Uncertainty
Pramanick2021Momenta,MOMENTA: A Multimodal Framework for Detecting Harmful Memes and Their Targets,"Pramanick, Shraman; Dimitrov, Dimitar; Mukherjee, Rituparna; Sharma, Shivam; Akhtar, Md. Shad; Nakov, Preslav; Chakraborty, Tanmoy",2021,Findings of the Association for Computational Linguistics: EMNLP 2021,,,https://scholar.google.com/scholar?q=%22MOMENTA%3A%20A%20Multimodal%20Framework%20for%20Detecting%20Harmful%20Memes%20and%20Their%20Targets%22,"6 Compositional Semantics, Generation Risk, and Visual Safety"
Poletto2021HateResources,Resources and Benchmark Corpora for Hate Speech Detection: A Systematic Review,"Poletto, Fabio; Basile, Valerio; Sanguinetti, Manuela; Bosco, Cristina; Patti, Viviana",2021,Language Resources and Evaluation,,,https://scholar.google.com/scholar?q=%22Resources%20and%20Benchmark%20Corpora%20for%20Hate%20Speech%20Detection%3A%20A%20Systematic%20Review%22,4 Content Measurement: From Labels to Policy-Conditioned Evidence
Pavlopoulos2021ToxicSpans,SemEval-2021 Task 5: Toxic Spans Detection,"Pavlopoulos, John; Sorensen, Jeffrey; Laugier, Leo; Androutsopoulos, Ion",2021,Proceedings of the 15th International Workshop on Semantic Evaluation,,,https://scholar.google.com/scholar?q=%22SemEval-2021%20Task%205%3A%20Toxic%20Spans%20Detection%22,4 Content Measurement: From Labels to Policy-Conditioned Evidence
Desai2020CalibrationTransformers,Calibration of Pre-trained Transformers,"Desai, Shrey; Durrett, Greg",2020,Proceedings of the 2020 Conference on Empirical Methods in Natural Language Processing,,,https://scholar.google.com/scholar?q=%22Calibration%20of%20Pre-trained%20Transformers%22,9 Decision-Oriented Governance Under Uncertainty
Raji2020Closing,Closing the AI Accountability Gap: Defining an End-to-End Framework for Internal Algorithmic Auditing,"Raji, Inioluwa Deborah; Smart, Andrew; White, Rebecca N.; Mitchell, Margaret; Gebru, Timnit; Hutchinson, Ben; Smith-Loud, Jamila; Theron, Daniel; Barnes, Parker",2020,"Proceedings of the 2020 Conference on Fairness, Accountability, and Transparency",,,https://scholar.google.com/scholar?q=%22Closing%20the%20AI%20Accountability%20Gap%3A%20Defining%20an%20End-to-End%20Framework%20for%20Internal%20Algorithmic%20Auditing%22,9 Decision-Oriented Governance Under Uncertainty
Madaio2020FairnessChecklists,Co-Designing Checklists to Understand Organizational Challenges and Opportunities around Fairness in AI,"Madaio, Michael A.; Stark, Luke; Vaughan, Jennifer Wortman; Wallach, Hanna",2020,Proceedings of the 2020 CHI Conference on Human Factors in Computing Systems,,,https://scholar.google.com/scholar?q=%22Co-Designing%20Checklists%20to%20Understand%20Organizational%20Challenges%20and%20Opportunities%20around%20Fairness%20in%20AI%22,9 Decision-Oriented Governance Under Uncertainty
Mozannar2020ConsistentDefer,Consistent Estimators for Learning to Defer to an Expert,"Mozannar, Hussein; Sontag, David",2020,Proceedings of the 37th International Conference on Machine Learning,,,https://scholar.google.com/scholar?q=%22Consistent%20Estimators%20for%20Learning%20to%20Defer%20to%20an%20Expert%22,9 Decision-Oriented Governance Under Uncertainty
Ho2020DDPM,Denoising Diffusion Probabilistic Models,"Ho, Jonathan; Jain, Ajay; Abbeel, Pieter",2020,Advances in Neural Information Processing Systems,,,https://scholar.google.com/scholar?q=%22Denoising%20Diffusion%20Probabilistic%20Models%22,"6 Compositional Semantics, Generation Risk, and Visual Safety"
Vidgen2020GarbageInOut,"Directions in Abusive Language Training Data, a Systematic Review: Garbage In, Garbage Out","Vidgen, Bertie; Derczynski, Leon",2020,PLOS ONE,,,https://scholar.google.com/scholar?q=%22Directions%20in%20Abusive%20Language%20Training%20Data%2C%20a%20Systematic%20Review%3A%20Garbage%20In%2C%20Garbage%20Out%22,4 Content Measurement: From Labels to Policy-Conditioned Evidence
Gomez2020MMHS,Exploring Hate Speech Detection in Multimodal Publications,"Gomez, Raul; Gibert, Jaume; Gomez, Lluis; Karatzas, Dimosthenis",2020,Proceedings of the IEEE/CVF Winter Conference on Applications of Computer Vision,,,https://scholar.google.com/scholar?q=%22Exploring%20Hate%20Speech%20Detection%20in%20Multimodal%20Publications%22,"6 Compositional Semantics, Generation Risk, and Visual Safety"
Blodgett2020LanguagePower,Language (Technology) is Power: A Critical Survey of Bias in NLP,"Blodgett, Su Lin; Barocas, Solon; Daume III, Hal; Wallach, Hanna",2020,Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,,,https://scholar.google.com/scholar?q=%22Language%20%28Technology%29%20is%20Power%3A%20A%20Critical%20Survey%20of%20Bias%20in%20NLP%22,4 Content Measurement: From Labels to Policy-Conditioned Evidence
Dathathri2020PPLM,Plug and Play Language Models: A Simple Approach to Controlled Text Generation,"Dathathri, Sumanth; Madotto, Andrea; Lan, Janice; Hung, Jane; Frank, Eric; Molino, Piero; Yosinski, Jason; Liu, Rosanne",2020,International Conference on Learning Representations,,,https://scholar.google.com/scholar?q=%22Plug%20and%20Play%20Language%20Models%3A%20A%20Simple%20Approach%20to%20Controlled%20Text%20Generation%22,5 Interactive Behavior: From Output Scores to Trajectory-Level Safety; 8 Adaptive Evasion and Detection–Mitigation Coupling
Gehman2020RealToxicityPrompts,RealToxicityPrompts: Evaluating Neural Toxic Degeneration in Language Models,"Gehman, Samuel; Gururangan, Suchin; Sap, Maarten; Choi, Yejin; Smith, Noah A.",2020,Findings of the Association for Computational Linguistics: EMNLP 2020,,,https://scholar.google.com/scholar?q=%22RealToxicityPrompts%3A%20Evaluating%20Neural%20Toxic%20Degeneration%20in%20Language%20Models%22,1 Introduction; 3 The SCOPE Framework: Defining Governance Validity; 5 Interactive Behavior: From Output Scores to Trajectory-Level Safety; 10 Cross-Cutting Synthesis and Research Agenda
Sharma2020Memotion,SemEval-2020 Task 8: Memotion Analysis–The Visuo-Lingual Metaphor!,"Sharma, Chhavi; Bhageria, Deepesh; Scott, William; Pykl, Srinivas; Das, Amitava; Chakraborty, Tanmoy; Pulabaigari, Viswanath; Gamback, Bjorn",2020,Proceedings of the Fourteenth Workshop on Semantic Evaluation,,,https://scholar.google.com/scholar?q=%22SemEval-2020%20Task%208%3A%20Memotion%20Analysis%E2%80%93The%20Visuo-Lingual%20Metaphor%21%22,"6 Compositional Semantics, Generation Risk, and Visual Safety"
